"business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category"
905,"Working Girls' Cafe'","0259 Kearny St","San Francisco","CA","94108",37.790477,-122.404033,"POINT (-122.404033 37.790477)",NULL,"905_20190415","2019-04-15",87,"Routine - Unscheduled","905_20190415_103114","High risk vermin infestation","High Risk"
1652,"STARBUCKS","201 03rd St","San Francisco","CA","94105",37.785037,-122.400432,"POINT (-122.400432 37.785037)",NULL,"1652_20190611","2019-06-11",96,"Routine - Unscheduled","1652_20190611_103161","Low risk vermin infestation","Low Risk"
59152,"Patio Cafe","531 Castro St","San Francisco","CA","94114",NULL,NULL,NULL,"14155625017","59152_20190312","2019-03-12",90,"Routine - Unscheduled","59152_20190312_103161","Low risk vermin infestation","Low Risk"
61357,"Smuggler's Cove","650 Gough St","San Francisco","CA","94102",NULL,NULL,NULL,NULL,"61357_20171205","2017-12-05",91,"Routine - Unscheduled","61357_20171205_103161","Low risk vermin infestation","Low Risk"
66220,"Izakaya Kou","1560 Fillmore St","San Francisco","CA","94115",37.784007,-122.432816,"POINT (-122.432816 37.784007)",NULL,"66220_20190418","2019-04-18",86,"Routine - Unscheduled","66220_20190418_103161","Low risk vermin infestation","Low Risk"
67510,"Subway Sandwiches","215 Fremont St","San Francisco","CA","94105",37.788864,-122.394613,"POINT (-122.394613 37.788864)",NULL,"67510_20180221","2018-02-21",79,"Routine - Unscheduled","67510_20180221_103161","Low risk vermin infestation","Low Risk"
69762,"Chili House Inc.","726 Clement St","San Francisco","CA","94118",NULL,NULL,NULL,"14155382658","69762_20161026","2016-10-26",80,"Routine - Unscheduled","69762_20161026_103161","Low risk vermin infestation","Low Risk"
70912,"Folsom Street Foundry","1425 Folsom St","San Francisco","CA","94103",NULL,NULL,NULL,NULL,"70912_20190705","2019-07-05",98,"Routine - Unscheduled","70912_20190705_103161","Low risk vermin infestation","Low Risk"
71803,"Charles Chocolates","535 Florida St","San Francisco","CA","94110",NULL,NULL,NULL,NULL,"71803_20181213","2018-12-13",94,"Routine - Unscheduled","71803_20181213_103161","Low risk vermin infestation","Low Risk"
76784,"Capital Restaurant","839 Clay","San Francisco","CA",NULL,NULL,NULL,NULL,NULL,"76784_20181204","2018-12-04",NULL,"Reinspection/Followup","76784_20181204_103114","High risk vermin infestation","High Risk"
77548,"Poc-Chuc Restaurant","2886 16th St","San Francisco","CA","94103",NULL,NULL,NULL,NULL,"77548_20181205","2018-12-05",76,"Routine - Unscheduled","77548_20181205_103114","High risk vermin infestation","High Risk"
79248,"Ha Nam Ninh Restaurant","701 Larkin St","San Francisco","CA","94109",NULL,NULL,NULL,NULL,"79248_20190305","2019-03-05",70,"Routine - Unscheduled","79248_20190305_103114","High risk vermin infestation","High Risk"
87613,"Tommy's Joynt","1101 Geary Blvd","San Francisco","CA","94109",NULL,NULL,NULL,NULL,"87613_20180618","2018-06-18",NULL,"Complaint","87613_20180618_103114","High risk vermin infestation","High Risk"
88119,"Tancca LLC","5015 Geary Blvd","San Francisco","CA","94118",NULL,NULL,NULL,"14155512710","88119_20190927","2019-09-27",94,"Routine - Unscheduled","88119_20190927_103161","Low risk vermin infestation","Low Risk"
88303,"Kushi Tsuru","1737 Post St 380","San Francisco","CA","94115",NULL,NULL,NULL,"14155939902","88303_20180426","2018-04-26",73,"Routine - Unscheduled","88303_20180426_103114","High risk vermin infestation","High Risk"
89072,"Epicurean@SHCP","1055 Ellis St.","San Francisco","CA","94109",NULL,NULL,NULL,NULL,"89072_20190925","2019-09-25",83,"Routine - Unscheduled","89072_20190925_103114","High risk vermin infestation","High Risk"
90800,"Black Jet Baking Co.","833 Cortland Ave.","San Francisco","CA","94110",NULL,NULL,NULL,NULL,"90800_20180406","2018-04-06",96,"Routine - Unscheduled","90800_20180406_103161","Low risk vermin infestation","Low Risk"
91874,"Alma Cocina","2801 Folsom St.","San Francisco","CA","94110",NULL,NULL,NULL,NULL,"91874_20190227","2019-02-27",NULL,"Complaint","91874_20190227_103114","High risk vermin infestation","High Risk"
93536,"Nook","1500 Hyde St","San Francisco","CA","94109",NULL,NULL,NULL,"14155978012","93536_20171213","2017-12-13",94,"Routine - Unscheduled","93536_20171213_103161","Low risk vermin infestation","Low Risk"
94542,"Ocean Thai","2545 Ocean Ave","San Francisco","CA","94132",NULL,NULL,NULL,NULL,"94542_20180309","2018-03-09",92,"Routine - Unscheduled","94542_20180309_103161","Low risk vermin infestation","Low Risk"
95537,"Eat Sushi","1516 Folsom St","San Francisco","CA","94103",NULL,NULL,NULL,NULL,"95537_20180511","2018-05-11",90,"Routine - Unscheduled","95537_20180511_103131","Moderate risk vermin infestation","Moderate Risk"
36348,"El Tepa","2198 Folsom St","San Francisco","CA","94110",37.762217,-122.415035,"POINT (-122.415035 37.762217)",NULL,"36348_20191002","2019-10-02",77,"Routine - Unscheduled","36348_20191002_103131","Moderate risk vermin infestation","Moderate Risk"
63121,"Sodini's Restaurant","510 Green St","San Francisco","CA","94133",37.799697,-122.407614,"POINT (-122.407614 37.799697)","14155290499","63121_20190605","2019-06-05",86,"Routine - Unscheduled","63121_20190605_103161","Low risk vermin infestation","Low Risk"
2995,"CAFE ROCCO","1131 FOLSOM St","San Francisco","CA","94103",37.776127,-122.408602,"POINT (-122.408602 37.776127)",NULL,"2995_20190305","2019-03-05",85,"Routine - Unscheduled","2995_20190305_103131","Moderate risk vermin infestation","Moderate Risk"
38258,"Hong Kong Bakery","4711 MISSION St","San Francisco","CA","94112",37.722898,-122.436086,"POINT (-122.436086 37.722898)",NULL,"38258_20190108","2019-01-08",68,"Routine - Unscheduled","38258_20190108_103114","High risk vermin infestation","High Risk"
6636,"STARBUCKS","1390 MARKET St","San Francisco","CA","94102",37.777053,-122.416939,"POINT (-122.416939 37.777053)",NULL,"6636_20180417","2018-04-17",88,"Routine - Unscheduled","6636_20180417_103161","Low risk vermin infestation","Low Risk"
57698,"China Fun Express","211 Kearny St","San Francisco","CA","94108",37.790055,-122.403915,"POINT (-122.403915 37.790055)",NULL,"57698_20190829","2019-08-29",87,"Routine - Unscheduled","57698_20190829_103161","Low risk vermin infestation","Low Risk"
13218,"LESLIE A. HENNESSY, INC.","545 02nd St","San Francisco","CA","94107",37.782504,-122.392843,"POINT (-122.392843 37.782504)",NULL,"13218_20170829","2017-08-29",85,"Routine - Unscheduled","13218_20170829_103131","Moderate risk vermin infestation","Moderate Risk"
1243,"JAVA SUPREME","0703 GUERRERO St","San Francisco","CA","94110",37.759934,-122.423553,"POINT (-122.423553 37.759934)","14155201832","1243_20171012","2017-10-12",87,"Routine - Unscheduled","1243_20171012_103114","High risk vermin infestation","High Risk"
2893,"FOREIGN CINEMA","2534 MISSION St","San Francisco","CA","94110",37.756417,-122.418884,"POINT (-122.418884 37.756417)","14155417600","2893_20170919","2017-09-19",86,"Routine - Unscheduled","2893_20170919_103161","Low risk vermin infestation","Low Risk"
35591,"The Monk's Kettle","3141 16TH St","San Francisco","CA","94103",37.764814,-122.422979,"POINT (-122.422979 37.764814)","14155869523","35591_20180109","2018-01-09",87,"Routine - Unscheduled","35591_20180109_103161","Low risk vermin infestation","Low Risk"
3082,"ONE MARKET RESTAURANT","1 MARKET St","San Francisco","CA","94105",37.794347,-122.394932,"POINT (-122.394932 37.794347)",NULL,"3082_20180124","2018-01-24",90,"Routine - Unscheduled","3082_20180124_103161","Low risk vermin infestation","Low Risk"
32925,"Papalote","3409 24th St","San Francisco","CA","94110",37.752073,-122.420939,"POINT (-122.420939 37.752073)",NULL,"32925_20170810","2017-08-10",78,"Routine - Unscheduled","32925_20170810_103114","High risk vermin infestation","High Risk"
4777,"SOUTH BEACH CAFE","800 EMBARCADERO St","San Francisco","CA","94107",37.781556,-122.388484,"POINT (-122.388484 37.781556)",NULL,"4777_20190212","2019-02-12",92,"Routine - Unscheduled","4777_20190212_103161","Low risk vermin infestation","Low Risk"
1619,"BENDERS BAR & GRILL","800-806 SOUTH VAN NESS Ave","San Francisco","CA","94110",37.76031,-122.417123,"POINT (-122.417123 37.76031)","14155558050","1619_20180403","2018-04-03",90,"Routine - Unscheduled","1619_20180403_103161","Low risk vermin infestation","Low Risk"
816,"B & J QUARTER POUNDER BURGERS","6202 03rd St","San Francisco","CA","94124",37.722374,-122.395841,"POINT (-122.395841 37.722374)",NULL,"816_20181127","2018-11-27",88,"Routine - Unscheduled","816_20181127_103131","Moderate risk vermin infestation","Moderate Risk"
18767,"Wonderful Dessert & Cafe","2035 IRVING St","San Francisco","CA","94122",37.763399,-122.479654,"POINT (-122.479654 37.763399)",NULL,"18767_20170906","2017-09-06",86,"Routine - Unscheduled","18767_20170906_103131","Moderate risk vermin infestation","Moderate Risk"
23273,"Mike Market","2200 SILVER Ave","San Francisco","CA","94124",37.736484,-122.398418,"POINT (-122.398418 37.736484)",NULL,"23273_20171218","2017-12-18",96,"Routine - Unscheduled","23273_20171218_103131","Moderate risk vermin infestation","Moderate Risk"
